Scenario,Intent #,Description,Domain,Sub-Domain,Data Source,Business View,Unstructured Source,Intent Types,Data Fetch,Reasoning,Action
7] Show me why the customer says the wrong product was shi…,3,Retrieve warehouse notes regarding the order fulfillment,Logistics,Warehouse,Structured,Logistics_Warehouse_Business_View,—,Data,Yes,No,No
7] Show me why the customer says the wrong product was shi…,4,Retrieve the customer complaint email,Operations,Customer_Support,Unstructured,—,customer complaint email,Data,Yes,No,No
7] Show me why the customer says the wrong product was shi…,5,"Analyze order details, shipment records, warehouse notes, and the complaint email to determine the cause of the shipping error",Operations,Order_Management,Both,—,customer complaint email,Reasoning,No,Yes,No
8] I need to analyse whether the return rejection was corr…,1,Fetch the return status for the specific return request,Operations,Returns,Structured,Operations_Returns_Business_View,—,Data,Yes,No,No
8] I need to analyse whether the return rejection was corr…,2,Retrieve product condition notes associated with the return,Operations,Returns,Unstructured,—,Product condition notes,Data,Yes,No,No
8] I need to analyse whether the return rejection was corr…,3,Retrieve the official return policy document,Operations,Returns,Unstructured,—,Return policy,Data,Yes,No,No
8] I need to analyse whether the return rejection was corr…,4,Analyse whether the return rejection was correct by comparing return status and product condition notes against the return policy,Operations,Returns,Both,Operations_Returns_Business_View,Product condition notes and return policy,Reasoning,Yes,Yes,No
9] Check if the tax charged on invoice INV-3301 is correct…,1,Fetch tax fields for invoice INV-3301,Finance,Tax_Compliance,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
9] Check if the tax charged on invoice INV-3301 is correct…,2,Retrieve the customer's tax exemption certificate,Finance,Tax_Compliance,Unstructured,—,customer's tax exemption certificate,Data,Yes,No,No
9] Check if the tax charged on invoice INV-3301 is correct…,3,Compare invoice tax fields with the tax exemption certificate to verify if the tax charged is correct,Finance,Tax_Compliance,Both,Finance_Accounting_Business_View,customer's tax exemption certificate,Reasoning,No,Yes,No
10] Show me all cases where customer payments are marked pe…,1,Fetch customer payment records that are currently marked as pending,Finance,Payment,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
10] Show me all cases where customer payments are marked pe…,2,Retrieve submitted payment proof documents for the identified pending payments,Finance,Payment,Unstructured,—,payment proof documents,Data,Yes,No,No
10] Show me all cases where customer payments are marked pe…,3,Compare payment status with document submission to identify discrepancies where proof exists but status remains pending,Finance,Payment,Both,Finance_Accounting_Business_View,payment proof documents,Reasoning,Yes,Yes,No
11] I need to analyse whether order ORD-7720 was changed wi…,1,Fetch order change history for order ORD-7720,Sales,Order_Change,Structured,Sales_Order_Change_Business_View,—,Data,Yes,No,No
11] I need to analyse whether order ORD-7720 was changed wi…,2,Retrieve approval emails related to order ORD-7720,Sales,Order_Change,Unstructured,—,approval emails,Data,Yes,No,No
11] I need to analyse whether order ORD-7720 was changed wi…,3,Compare order change history with approval emails to analyze if changes were made without approval,Sales,Order_Change,Both,Sales_Order_Change_Business_View,approval emails,Reasoning,No,Yes,No
12] Check if the customer cancellation request can be appro…,1,Fetch the current order status for the cancellation request,Sales,Cancellation,Structured,Sales_Cancellation_Business_View,—,Data,Yes,No,No
12] Check if the customer cancellation request can be appro…,2,Fetch the payment status associated with the order,Finance,Payment,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
12] Check if the customer cancellation request can be appro…,3,Retrieve the cancellation policy terms,Legal,Contract_Obligations,Unstructured,—,Cancellation policy document,Data,Yes,No,No
12] Check if the customer cancellation request can be appro…,4,"Analyze order status, payment status, and policy terms to determine if the cancellation request can be approved",Sales,Cancellation,Both,Sales_Cancellation_Business_View,Cancellation policy document,Reasoning,No,Yes,No
13] Show me the root cause of repeated shipment delays for …,1,Fetch logistics shipment records for ACME Corp to identify delay patterns,Logistics,Shipment_Planning,Structured,Sales_Shipment_Business_View,—,Data,Yes,No,No
13] Show me the root cause of repeated shipment delays for …,2,Retrieve carrier updates and communication logs regarding ACME Corp shipments,Logistics,Carrier_Management,Unstructured,—,Carrier updates/logs,Data,Yes,No,No
13] Show me the root cause of repeated shipment delays for …,3,Retrieve customer complaint tickets related to shipment delays for ACME Corp,Operations,Customer_Support,Unstructured,—,Customer complaint tickets,Data,Yes,No,No
13] Show me the root cause of repeated shipment delays for …,4,"Analyze logistics records, carrier updates, and complaint tickets to determine the root cause of repeated shipment delays",Logistics,Shipment_Planning,Both,—,Carrier updates and complaint tickets,Reasoning,No,Yes,No
14] I need to analyse whether the customer complaint is val…,1,Fetch ticket timestamps for the customer complaint,Operations,Customer_Support,Structured,Operations_SLA_Monitoring_Business_View,—,Data,Yes,No,No
14] I need to analyse whether the customer complaint is val…,2,Retrieve support notes related to the customer complaint,Operations,Customer_Support,Unstructured,—,Support notes,Data,Yes,No,No
14] I need to analyse whether the customer complaint is val…,3,Retrieve the SLA policy document,Operations,SLA_Monitoring,Unstructured,—,SLA policy document,Data,Yes,No,No
14] I need to analyse whether the customer complaint is val…,4,Analyse the validity of the customer complaint by comparing ticket timestamps and support notes against the SLA policy,Operations,SLA_Monitoring,Both,Operations_SLA_Monitoring_Business_View,Support notes and SLA policy,Reasoning,No,Yes,No
15] Check whether the renewal price increase is correct by …,1,Fetch last year's invoice records,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
15] Check whether the renewal price increase is correct by …,2,Retrieve current quotation document,Sales,Pricing,Unstructured,—,Current quotation,Data,Yes,No,No
15] Check whether the renewal price increase is correct by …,3,Retrieve renewal contract terms,Sales,Contract,Unstructured,—,Renewal contract,Data,Yes,No,No
15] Check whether the renewal price increase is correct by …,4,"Compare last year's invoice, current quotation, and renewal contract terms to validate the price increase",Sales,Pricing,Both,—,—,Reasoning,No,Yes,No
16] Show me whether vendor payment should be held by checki…,1,Fetch invoice records for the vendor payment,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
16] Show me whether vendor payment should be held by checki…,2,Fetch goods receipt data for the vendor,Procurement,Goods_Receipt,Structured,Procurement_Purchase_Order_Business_View,—,Data,Yes,No,No
16] Show me whether vendor payment should be held by checki…,3,Retrieve the quality inspection report,Operations,Quality_Control,Unstructured,—,Quality inspection report,Data,Yes,No,No
16] Show me whether vendor payment should be held by checki…,4,Retrieve the contract penalty clause,Procurement,Contract_Management,Unstructured,—,Contract penalty clause document,Data,Yes,No,No
16] Show me whether vendor payment should be held by checki…,5,"Analyze invoice, goods receipt, quality report, and penalty clauses to determine if vendor payment should be held",Finance,Payment,Both,—,—,Reasoning,No,Yes,No
17] I need to analyse the inventory mismatch by comparing s…,1,Fetch stock records to identify current inventory levels,Logistics,Inventory,Structured,Logistics_Inventory_Business_View,—,Data,Yes,No,No
17] I need to analyse the inventory mismatch by comparing s…,2,Retrieve warehouse adjustment logs,Logistics,Warehouse,Structured,Logistics_Warehouse_Business_View,—,Data,Yes,No,No
17] I need to analyse the inventory mismatch by comparing s…,3,Retrieve warehouse manager notes regarding inventory,Logistics,Warehouse,Unstructured,—,warehouse manager notes,Data,Yes,No,No
17] I need to analyse the inventory mismatch by comparing s…,4,"Analyse inventory mismatch by comparing stock records, adjustment logs, and manager notes",Logistics,Inventory,Both,—,warehouse manager notes,Reasoning,No,Yes,No
18] Check if the purchase order should be created by review…,1,Retrieve the vendor quotation document,Procurement,Sourcing,Unstructured,—,Vendor quotation document,Data,Yes,No,No
18] Check if the purchase order should be created by review…,2,Retrieve the approved budget records,Finance,Budget,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
18] Check if the purchase order should be created by review…,3,Retrieve the procurement policy document,Procurement,Approval,Unstructured,—,Procurement policy document,Data,Yes,No,No
18] Check if the purchase order should be created by review…,4,"Analyze vendor quotation, budget, and policy to determine if the purchase order should be created",Procurement,Approval,Both,Procurement_Purchase_Order_Business_View,Vendor quotation and procurement policy,Reasoning,No,Yes,No
18] Check if the purchase order should be created by review…,5,Create the purchase order based on the analysis result,Procurement,Purchase_Order,Structured,Procurement_Purchase_Order_Business_View,—,Action,No,No,Yes
19] Show me whether the vendor contract can be renewed by c…,1,Fetch vendor performance data,Procurement,Vendor_Management,Structured,Procurement_Vendor_Performance_Business_View,—,Data,Yes,No,No
19] Show me whether the vendor contract can be renewed by c…,2,Retrieve vendor incident reports,Operations,Quality_Control,Unstructured,—,Incident reports documents,Data,Yes,No,No
19] Show me whether the vendor contract can be renewed by c…,3,Retrieve vendor contract renewal terms,Procurement,Contract_Management,Unstructured,—,Vendor contract documents,Data,Yes,No,No
19] Show me whether the vendor contract can be renewed by c…,4,"Analyze vendor performance, incident reports, and renewal terms to determine if the contract can be renewed",Procurement,Contract_Management,Both,—,"Vendor performance data, incident reports, and contract terms",Reasoning,No,Yes,No
20] I need to analyse whether employee travel reimbursement…,1,Fetch employee travel expense records,HR,Expense_Management,Structured,HR_Payroll_Business_View,—,Data,Yes,No,No
20] I need to analyse whether employee travel reimbursement…,2,Retrieve receipt attachments for travel reimbursement,HR,Expense_Management,Unstructured,—,receipt attachments,Data,Yes,No,No
20] I need to analyse whether employee travel reimbursement…,3,Retrieve the company travel policy document,HR,Expense_Management,Unstructured,—,travel policy,Data,Yes,No,No
20] I need to analyse whether employee travel reimbursement…,4,"Analyse whether travel reimbursement is correct by comparing expense records, receipts, and travel policy",HR,Expense_Management,Both,HR_Payroll_Business_View,receipt attachments and travel policy,Reasoning,No,Yes,No
21] Check if the employee bonus calculation is correct by r…,1,Fetch employee payroll data for bonus calculation,HR,Payroll,Structured,HR_Payroll_Business_View,—,Data,Yes,No,No
21] Check if the employee bonus calculation is correct by r…,2,Retrieve employee performance rating,HR,Workforce,Structured,HR_Workforce_Business_View,—,Data,Yes,No,No
21] Check if the employee bonus calculation is correct by r…,3,Retrieve the compensation policy document,HR,Payroll,Unstructured,—,compensation policy,Data,Yes,No,No
21] Check if the employee bonus calculation is correct by r…,4,Validate if the employee bonus calculation is correct by comparing payroll data and performance ratings against the compensation policy,HR,Payroll,Both,HR_Payroll_Business_View,compensation policy,Reasoning,No,Yes,No
22] Show me whether the training reimbursement request shou…,1,Fetch employee records for the reimbursement requester,HR,Workforce,Structured,HR_Workforce_Business_View,—,Data,Yes,No,No
22] Show me whether the training reimbursement request shou…,2,Retrieve the course invoice associated with the reimbursement request,Finance,Invoicing,Both,Finance_Accounting_Business_View,Course invoice document,Data,Yes,No,No
22] Show me whether the training reimbursement request shou…,3,Retrieve the company training policy,HR,Training_Development,Unstructured,—,Training policy document,Data,Yes,No,No
22] Show me whether the training reimbursement request shou…,4,"Analyze employee records, invoice, and policy to determine if the reimbursement request should be approved",HR,Expense_Management,Both,—,—,Reasoning,No,Yes,No
23] I need to analyse whether an IT access request is valid…,1,Fetch the employee role,HR,Workforce,Structured,HR_Workforce_Business_View,—,Data,Yes,No,No
23] I need to analyse whether an IT access request is valid…,2,Fetch current access permissions,IT,Access_Management,Structured,—,—,Data,Yes,No,No
23] I need to analyse whether an IT access request is valid…,3,Retrieve the security policy,IT,Security_Policy,Unstructured,—,Security policy document,Data,Yes,No,No
23] I need to analyse whether an IT access request is valid…,4,Analyse whether the IT access request is valid by comparing employee role and permissions against the security policy,IT,Access_Management,Both,—,Security policy document,Reasoning,No,Yes,No
24] Check if the customer data deletion request should be p…,1,Retrieve customer records related to the data deletion request,Legal,Data_Privacy,Structured,Legal_Compliance_Business_View,—,Data,Yes,No,No
24] Check if the customer data deletion request should be p…,2,Retrieve the customer's current consent status,Legal,Data_Privacy,Structured,Legal_Compliance_Business_View,—,Data,Yes,No,No
24] Check if the customer data deletion request should be p…,3,Retrieve the company privacy policy document,Legal,Data_Privacy,Unstructured,—,Privacy policy,Data,Yes,No,No
24] Check if the customer data deletion request should be p…,4,"Analyze customer records, consent status, and privacy policy to determine if the data deletion request should be processed",Legal,Data_Privacy,Both,Legal_Compliance_Business_View,Privacy policy,Reasoning,No,Yes,No
25] Show me whether the campaign lead count is accurate by …,1,Fetch CRM lead records for the campaign,Marketing,Lead_Management,Structured,Marketing_Campaign_Business_View,—,Data,Yes,No,No
25] Show me whether the campaign lead count is accurate by …,2,Retrieve the campaign report,Marketing,Campaign,Unstructured,—,campaign report,Data,Yes,No,No
25] Show me whether the campaign lead count is accurate by …,3,Retrieve the event registration sheet,Marketing,Lead_Management,Unstructured,—,event registration sheet,Data,Yes,No,No
25] Show me whether the campaign lead count is accurate by …,4,"Compare CRM lead records, campaign report, and event registration sheet to validate lead count accuracy",Marketing,Lead_Management,Both,Marketing_Campaign_Business_View,campaign report and event registration sheet,Reasoning,No,Yes,No
26] I need to analyse why the email campaign performance dr…,1,Fetch email campaign performance metrics,Marketing,Campaign,Structured,Marketing_Campaign_Business_View,—,Data,Yes,No,No
26] I need to analyse why the email campaign performance dr…,2,Retrieve customer responses to the email campaign,Marketing,Customer_Analytics,Unstructured,—,Customer response emails and feedback,Data,Yes,No,No
26] I need to analyse why the email campaign performance dr…,3,Retrieve the campaign brief document,Marketing,Campaign,Unstructured,—,Campaign brief document,Data,Yes,No,No
26] I need to analyse why the email campaign performance dr…,4,"Analyse the cause of the drop in email campaign performance by comparing metrics, customer responses, and the campaign brief",Marketing,Campaign,Both,Marketing_Campaign_Business_View,Customer responses and campaign brief,Reasoning,No,Yes,No
27] Check whether the legal notice requires action by revie…,1,Retrieve the legal notice document,Legal,Legal_Notice,Unstructured,—,legal notice document,Data,Yes,No,No
27] Check whether the legal notice requires action by revie…,2,Retrieve customer account history,Finance,Accounting,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
27] Check whether the legal notice requires action by revie…,3,Retrieve contract obligations,Legal,Contract_Obligations,Unstructured,—,contract obligations document,Data,Yes,No,No
27] Check whether the legal notice requires action by revie…,4,"Analyze the legal notice, account history, and contract obligations to determine if action is required",Legal,Legal_Notice,Both,—,legal notice and contract documents,Reasoning,No,Yes,No
"28] Show me all invoices where invoice amount, payment rece…",1,"Fetch invoice amount, payment received, and contract value for all invoices",Finance,Accounting,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
"28] Show me all invoices where invoice amount, payment rece…",2,"Compare invoice amount, payment received, and contract value to identify mismatches",Finance,Accounting,Structured,Finance_Accounting_Business_View,—,Reasoning,No,Yes,No
"28] Show me all invoices where invoice amount, payment rece…",3,Mark identified mismatched invoices for finance review,Finance,Accounting,Structured,Finance_Accounting_Business_View,—,Action,No,No,Yes
29] I need to analyse whether the customer is eligible for …,1,Check delivery status to verify if delivery failed,Sales,Shipment,Structured,Sales_Shipment_Business_View,—,Data,Yes,No,No
29] I need to analyse whether the customer is eligible for …,2,Retrieve payment record for the customer,Finance,Payment,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
29] I need to analyse whether the customer is eligible for …,3,Retrieve the refund policy document,Finance,Refund,Unstructured,—,Refund policy document,Data,Yes,No,No
29] I need to analyse whether the customer is eligible for …,4,"Analyse customer eligibility for refund based on delivery status, payment record, and refund policy",Finance,Refund,Both,—,Refund policy document,Reasoning,No,Yes,No
30] Check if an invoice correction request should be create…,1,Fetch invoice data for the customer,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Data,Yes,No,No
30] Check if an invoice correction request should be create…,2,Fetch order records for the customer,Sales,Booking,Structured,Sales_Booking_Business_View,—,Data,Yes,No,No
30] Check if an invoice correction request should be create…,3,Retrieve customer discount terms from contract documents,Sales,Contract,Unstructured,—,Contract terms document,Data,Yes,No,No
30] Check if an invoice correction request should be create…,4,Compare invoice data and order records against contract terms to validate if the customer discount was missed,Finance,Invoicing,Both,Finance_Accounting_Business_View,Contract terms document,Reasoning,No,Yes,No
30] Check if an invoice correction request should be create…,5,Create an invoice correction request if the discount was found to be missed,Finance,Invoicing,Structured,Finance_Accounting_Business_View,—,Action,No,No,Yes
